Vehicle_ID,Manufacturer,Model,Year,Battery_Type,Battery_Capacity_kWh,Range_km,Charging_Type,Charge_Time_hr,Price_USD,Color,Country_of_Manufacture,Autonomous_Level,CO2_Emissions_g_per_km,Safety_Rating,Units_Sold_2024,Warranty_Years,Revenue of 2024,Price Category,Battery Effeciency (km/ kWh),Range Category,Autonous Level Coulumn,Unit Selling Category
2627,Chevrolet,Silverado EV,2017,Solid-state,27.8,248,Level 2 Charging,1.4,133973.75,Rose Gold,Finland,3,0,4,4454,5,596719082.5,Luxury,9,Mid-Range,Advanced,Medium
2628,Gmc,Hummer EV Pickup,2015,Zinc-air,149.8,344,Overhead Pantograph Charging,2.6,144721.89,Matte Black,Thailand,2,0,4,18099,3,2619321487,Luxury,2,Mid-Range,Intermediate,Very High
2629,Citroen,ë-Spacetourer,2023,Aluminum-ion,125.2,577,NACS,1.8,35036.66,Crimson Red,New Zealand,0,0,3,9193,3,322092015.4,Budget,5,High Range,None,High
2630,Jeep,Wrangler 4xe (PHEV),2018,Zinc-air,21.3,557,CHAdeMO,0.8,36245.89,Rose Gold,Thailand,0,0,5,9323,4,337920432.5,Budget,26,High Range,None,High
2631,Mazda,Mazda EV (upcoming models),2025,Nickel-manganese-cobalt,101.1,466,NACS,1.2,50188.59,Crimson Red,Saudi Arabia,3,0,5,6789,3,340730337.5,Mid-Range,5,High Range,Advanced,High
2632,Volkswagen,ID.7,2022,Flow batteries,108.3,593,Mobile Charging,3.4,43456.03,Matte Blue,Belgium,2,0,4,7691,5,334220326.7,Mid-Range,5,High Range,Intermediate,High
2633,Hyundai,Ioniq 7 (upcoming),2019,Sodium-ion,98,332,Level 2 Charging,1.2,127678.89,Titanium,Singapore,2,0,4,19616,5,2504549106,Luxury,3,Mid-Range,Intermediate,Very High
2634,Polestar,Polestar 5 (upcoming),2020,Sodium-ion,147.1,432,Overhead Pantograph Charging,8,63617.13,Pink,Saudi Arabia,3,0,4,16377,5,1041857738,Mid-Range,3,High Range,Advanced,Very High
2635,Changan,SL03,2024,Zinc-air,27,196,CCS,5.6,47377.26,Emerald Green,China,2,0,3,9265,3,438950313.9,Mid-Range,7,Low Range,Intermediate,High
2636,Rivian,R1T,2016,Magnesium-ion,118.5,444,Vehicle-to-Grid (V2G),7.2,61757.05,Orange,South Korea,3,0,4,6550,3,404508677.5,Mid-Range,4,High Range,Advanced,High
2637,Rimac,Nevera,2015,Calcium-ion,141.7,185,NACS,9.8,75986.03,Sky Blue,Singapore,3,0,4,13061,3,992453537.8,Mid-Range,1,Low Range,Advanced,Very High
2638,Volvo,XC40 Recharge,2021,Solid-state,58.1,562,CHAdeMO,2.7,30936.19,Aurora Blue,Uk,0,0,4,15240,5,471467535.6,Budget,10,High Range,None,Very High
2639,Honda,e:Ny1,2020,Magnesium-ion,34.3,440,Overhead Pantograph Charging,0.8,38832.34,Cosmic Purple,Usa,3,0,4,14449,3,561088480.7,Budget,13,High Range,Advanced,Very High
2640,Acura,ZDX (with GM Ultium),2017,Magnesium-ion,74.2,215,Overhead Pantograph Charging,7.4,40443.39,Cobalt Blue,Vietnam,1,0,3,4917,5,198860148.6,Mid-Range,3,Mid-Range,Basic,Medium
2641,Porsche,Cayenne Electric (upcoming),2022,Solid-state,27.1,312,Mobile Charging,9,32604.25,Copper,Israel,1,0,4,9422,3,307197243.5,Budget,12,Mid-Range,Basic,High
2642,Mini,Mini Cooper SE,2024,Lithium-ion,67.7,143,Vehicle-to-Load (V2L),4.4,48139.06,Cosmic Purple,Russia,4,0,4,11399,3,548737144.9,Mid-Range,2,Low Range,Full,Very High
2643,Xpeng,P7,2020,Lead-acid,80.4,567,CCS,5.1,117443.56,Forest Green,France,0,0,3,2185,4,256614178.6,Premium,7,High Range,None,Medium
2644,Mercedes-Benz,EQA,2016,Nickel-metal hydride,58.1,512,Solar Charging,11.9,136420.35,Tan,Malaysia,5,0,5,15399,5,2100736970,Luxury,9,High Range,Full,Very High
2645,Honda,e:Ny1,2024,Aluminum-ion,139.9,449,Vehicle-to-Grid (V2G),5.1,68541.17,Purple,South Korea,3,0,4,8328,3,570810863.8,Mid-Range,3,High Range,Advanced,High
2646,Jaguar,I-PACE,2022,Nickel-cobalt-aluminum,134.8,145,Vehicle-to-Home (V2H),0.8,42511.91,Ruby Red,Japan,3,0,5,7263,3,308764002.3,Mid-Range,1,Low Range,Advanced,High
2647,Mini,Mini Aceman,2025,Calcium-ion,104.5,332,NACS,0.8,59326.88,Purple,New Zealand,2,0,3,1004,3,59564187.52,Mid-Range,3,Mid-Range,Intermediate,Medium
2648,Ferrari,SF90 Stradale (PHEV),2025,Magnesium-ion,130.8,576,Mobile Charging,3.8,45585.63,Cream,South Korea,3,0,4,2461,3,112186235.4,Mid-Range,4,High Range,Advanced,Medium
2649,Li Auto,L9,2018,Lithium-sulfur,119.1,188,Solar Charging,11.5,114883.67,Titanium,China,2,0,4,12968,4,1489811433,Premium,2,Low Range,Intermediate,Very High
2650,Ford,E-Transit,2023,Nickel-metal hydride,36.5,587,Level 2 Charging,7.9,137346.69,Copper,Italy,0,0,4,1796,3,246674655.2,Luxury,16,High Range,None,Medium
2651,Lotus,Evija,2020,Solid-state,101.6,273,CHAdeMO,3.2,140321.99,Brown,Thailand,0,0,4,8425,4,1182212766,Luxury,3,Mid-Range,None,High
2652,Lucid Motors,Lucid Air,2016,Nickel-cobalt-aluminum,117.8,238,Mobile Charging,0.6,34047.93,Purple,Czech Republic,3,0,5,3415,3,116273681,Budget,2,Mid-Range,Advanced,Medium
2653,Genesis,GV80 Electric,2025,Nickel-cobalt-aluminum,116.6,504,Ultra-Fast Charging (350 kW+),7.8,120829.71,White,Russia,5,0,4,18894,5,2282956541,Luxury,4,High Range,Full,Very High
2654,Peugeot,e-3008,2022,Lithium-titanate,68.8,157,Ultra-Fast Charging (350 kW+),11.8,62914.74,Ice Silver,Hungary,2,0,4,7878,3,495642321.7,Mid-Range,2,Low Range,Intermediate,High
2655,Toyota,Lexus UX 300e,2018,Sodium-ion,148.1,524,Vehicle-to-Load (V2L),3.4,121086.77,Aurora Blue,Japan,3,0,3,11888,3,1439479522,Luxury,4,High Range,Advanced,Very High
2656,Audi,Q8 e-tron,2020,Lithium-ion,53,102,Inductive (Wireless) Charging,5.9,39912.77,Racing Red,Canada,4,0,4,8803,5,351352114.3,Budget,2,Low Range,Full,High
2657,Nissan,Ariya,2017,Zinc-air,22.8,470,Overhead Pantograph Charging,0.9,72012.08,Matte Green,Sweden,4,0,4,13048,5,939613619.8,Mid-Range,21,High Range,Full,Very High
2658,Bmw,i7,2018,Lithium-titanate,134.2,410,NACS,3.8,81122.49,Emerald Green,France,3,0,5,12492,3,1013382145,Premium,3,High Range,Advanced,Very High
2659,Peugeot,e-5008,2023,Flow batteries,136,413,Level 1 Charging,6.4,93928.91,Racing Red,South Korea,1,0,5,3858,4,362377734.8,Premium,3,High Range,Basic,Medium
2660,Jeep,Wagoneer S,2024,Nickel-metal hydride,134.2,176,NACS,2.9,144668.51,Midnight Black,Mexico,3,0,4,7018,5,1015283603,Luxury,1,Low Range,Advanced,High
2661,Fisker,Pear (upcoming),2016,Nickel-cobalt-aluminum,42.7,335,CCS,11.5,61344.68,Metallic Silver,Portugal,3,0,3,6604,4,405120266.7,Mid-Range,8,Mid-Range,Advanced,High
2662,Genesis,G80 Electric,2018,Lithium-titanate,83.7,230,NACS,10.9,42147.78,Magenta,Sweden,3,0,4,19461,3,820237946.6,Mid-Range,3,Mid-Range,Advanced,Very High
2663,Great Wall Motors,ORA Lightning Cat,2016,Sodium-ion,104.4,333,DC Fast Charging (DCFC),7.6,103973.21,Charcoal,Mexico,3,0,5,4454,5,463096677.3,Premium,3,Mid-Range,Advanced,Medium
2664,Vinfast,VF 8,2018,Calcium-ion,137.5,513,Level 1 Charging,10.4,98961.34,Teal,United Arab Emirates,4,0,3,12955,4,1282044160,Premium,4,High Range,Full,Very High
2665,Mini,Mini Electric,2022,Lithium-iron phosphate,79.8,278,Vehicle-to-Home (V2H),2.2,92468.58,Emerald Green,France,5,0,4,19103,3,1766427284,Premium,3,Mid-Range,Full,Very High
2666,Hyundai,Ioniq 5,2020,Solid-state,33.3,554,DC Fast Charging (DCFC),3.3,54897.26,Yellow,Germany,1,0,3,5836,4,320380409.4,Mid-Range,17,High Range,Basic,High
2667,Xpeng,X9,2019,Lead-acid,128.2,516,Solar Charging,8.7,135222.82,Pearl White,Switzerland,3,0,3,1093,5,147798542.3,Luxury,4,High Range,Advanced,Medium
2668,Great Wall Motors,ORA Good Cat,2023,Magnesium-ion,61.8,460,Vehicle-to-Load (V2L),1.2,122176.3,Stealth Gray,Singapore,4,0,4,391,5,47770933.3,Luxury,7,High Range,Full,Low
2669,Fisker,Pear (upcoming),2023,Lithium-iron phosphate,82.4,186,CCS,3.1,148492.54,Brown,United Arab Emirates,3,0,5,19531,3,2900207799,Luxury,2,Low Range,Advanced,Very High
2670,Geely,Geometry A,2020,Solid-state,101.2,138,Vehicle-to-Home (V2H),10.2,66191.53,Cosmic Purple,Ireland,1,0,5,9119,5,603600562.1,Mid-Range,1,Low Range,Basic,High
2671,Geely,Emgrand EV,2018,Lead-acid,36,214,Inductive (Wireless) Charging,5.6,110537.2,Matte Green,Portugal,2,0,3,14405,4,1592288366,Premium,6,Mid-Range,Intermediate,Very High
2672,Tesla,Model S,2020,Aluminum-ion,50.2,282,Mobile Charging,8,90924.66,Gray,Switzerland,4,0,5,898,5,81650344.68,Premium,6,Mid-Range,Full,Low
2673,Lamborghini,Revuelto (PHEV),2024,Flow batteries,117,364,Mobile Charging,1.2,141657.62,Volcanic Yellow,Saudi Arabia,3,0,3,11161,5,1581040697,Luxury,3,Mid-Range,Advanced,Very High
2674,Mahindra,Born Electric (upcoming range),2018,Nickel-manganese-cobalt,29.1,290,Vehicle-to-Grid (V2G),9.4,42037.78,Rose Gold,Belgium,0,0,4,13466,4,566080745.5,Mid-Range,10,Mid-Range,None,Very High
2675,Skoda,Enyaq Coupe,2015,Flow batteries,135.7,457,Plug-in Hydrogen Refueling,3,138650.57,Green,France,0,0,3,19342,4,2681779325,Luxury,3,High Range,None,Very High
2676,Pininfarina,Battista,2015,Zinc-air,51.8,205,CCS,10.2,60676.04,Blue,Austria,4,0,3,15913,5,965537824.5,Mid-Range,4,Mid-Range,Full,Very High
2677,Acura,ZDX (with GM Ultium),2015,Nickel-cobalt-aluminum,32.7,375,CHAdeMO,10.6,137538.74,Copper,Argentina,0,0,4,5980,4,822481665.2,Luxury,11,Mid-Range,None,High
2678,Geely,Emgrand EV,2019,Nickel-metal hydride,58.8,386,Battery Swapping,11.2,59260.13,Turquoise,Hungary,3,0,3,18859,5,1117586792,Mid-Range,7,Mid-Range,Advanced,Very High
2679,Cadillac,Lyriq,2020,Lithium-titanate,135.8,296,Vehicle-to-Home (V2H),7.7,44357.65,Black,Malaysia,5,0,4,17980,5,797550547,Mid-Range,2,Mid-Range,Full,Very High
2680,Cadillac,Lyriq,2018,Sodium-ion,110.4,459,Mobile Charging,0.6,147420.89,Yellow,Singapore,3,0,5,8619,4,1270620651,Luxury,4,High Range,Advanced,High
2681,Rimac,Nevera,2020,Lithium-titanate,78.1,480,DC Fast Charging (DCFC),10,83671.52,Copper,Norway,3,0,4,11847,3,991256497.4,Premium,6,High Range,Advanced,Very High
2682,Byd,Seagull,2025,Sodium-ion,74.6,508,Battery Swapping,0.6,124447.66,Blue,Canada,5,0,5,19554,5,2433449544,Luxury,7,High Range,Full,Very High
2683,Polestar,Polestar 2,2015,Solid-state,49.1,231,DC Fast Charging (DCFC),4,33992.3,Racing Red,Saudi Arabia,3,0,4,2364,4,80357797.2,Budget,5,Mid-Range,Advanced,Medium
2684,Vinfast,VF 8,2021,Sodium-ion,60.2,231,Level 1 Charging,11.7,31626.18,Copper,Japan,3,0,4,8254,5,261042489.7,Budget,4,Mid-Range,Advanced,High
2685,Changan,Deepal S07,2023,Magnesium-ion,47.4,474,Vehicle-to-Home (V2H),4.5,73353.79,Black,Czech Republic,4,0,4,12986,4,952572316.9,Mid-Range,10,High Range,Full,Very High
2686,Volkswagen,ID.5,2022,Nickel-cobalt-aluminum,27.9,594,Inductive (Wireless) Charging,6.6,113601.64,Gun Metal,Mexico,0,0,5,3498,4,397378536.7,Premium,21,High Range,None,Medium
2687,Fisker,Ocean,2025,Flow batteries,68.5,385,CCS,4.7,69588.13,Black,Poland,2,0,3,16294,4,1133868990,Mid-Range,6,Mid-Range,Intermediate,Very High
2688,Audi,Q8 e-tron,2025,Lithium-sulfur,82.5,511,Vehicle-to-Load (V2L),10.4,146476.36,Lime Green,India,0,0,3,5121,5,750105439.6,Luxury,6,High Range,None,High
2689,Polestar,Polestar 2,2024,Nickel-manganese-cobalt,72.3,129,NACS,4.7,145609.07,Yellow,Indonesia,2,0,4,11975,5,1743668613,Luxury,2,Low Range,Intermediate,Very High
2690,Mg,MG4 Electric,2019,Flow batteries,60.1,582,Ultra-Fast Charging (350 kW+),2.6,137367.83,Red,Uk,1,0,4,9143,4,1255954070,Luxury,10,High Range,Basic,High
2691,Dacia,Jogger Hybrid,2024,Nickel-manganese-cobalt,117.3,266,DC Fast Charging (DCFC),8.8,61938.57,Titanium,Poland,4,0,4,162,5,10034048.34,Mid-Range,2,Mid-Range,Full,Low
2692,Mini,Mini Cooper SE,2021,Sodium-ion,130.6,542,Battery Swapping,10.8,58155.3,Burgundy,Israel,5,0,5,16198,5,941999549.4,Mid-Range,4,High Range,Full,Very High
2693,Nissan,Ariya,2018,Nickel-manganese-cobalt,71.6,426,Vehicle-to-Load (V2L),5.3,60557.2,Matte Green,New Zealand,3,0,4,4850,4,293702420,Mid-Range,6,High Range,Advanced,Medium
2694,Jaguar,I-PACE,2023,Nickel-manganese-cobalt,35.9,164,Vehicle-to-Home (V2H),4,82226.05,Sunset Orange,Vietnam,3,0,3,19278,3,1585153792,Premium,5,Low Range,Advanced,Very High
2695,Cadillac,Lyriq,2020,Nickel-metal hydride,69.5,229,CHAdeMO,4.4,108938.53,Sapphire Blue,Switzerland,3,0,3,17398,4,1895312545,Premium,3,Mid-Range,Advanced,Very High
2696,Li Auto,MEGA,2020,Zinc-air,35.2,421,Overhead Pantograph Charging,10.2,82328.55,Burgundy,Switzerland,5,0,4,15890,3,1308200660,Premium,12,High Range,Full,Very High
2697,Mini,Mini Cooper SE,2019,Magnesium-ion,77.9,594,Vehicle-to-Load (V2L),11,149322.93,Bronze,Japan,3,0,3,4416,4,659410058.9,Luxury,8,High Range,Advanced,Medium
2698,Peugeot,e-208,2016,Sodium-ion,67.9,244,Battery Swapping,7.6,34293.73,Titanium,Finland,4,0,3,12130,4,415982944.9,Budget,4,Mid-Range,Full,Very High
2699,Acura,ZDX (with GM Ultium),2022,Lithium-sulfur,143.5,236,Battery Swapping,4.6,117907.54,Cosmic Purple,New Zealand,5,0,4,8896,3,1048905476,Premium,2,Mid-Range,Full,High
2700,Tesla,Roadster (upcoming),2020,Lithium-ion,150,560,Mobile Charging,11.4,123641.63,Sky Blue,Malaysia,5,0,5,4682,4,578890111.7,Luxury,4,High Range,Full,Medium
2701,Nio,ES8,2025,Lead-acid,134.5,354,Level 2 Charging,11.4,96638.7,Bronze,Netherlands,5,0,3,7692,4,743344880.4,Premium,3,Mid-Range,Full,High
2702,Zeekr,Zeekr 001,2025,Nickel-metal hydride,121.1,322,Solar Charging,3.5,50697.52,Navy Blue,Ireland,2,0,3,15792,5,800615235.8,Mid-Range,3,Mid-Range,Intermediate,Very High
2703,Xpeng,P7,2021,Sodium-ion,49.1,353,Vehicle-to-Home (V2H),8.3,60725.82,Bronze,Russia,3,0,3,19215,3,1166846631,Mid-Range,7,Mid-Range,Advanced,Very High
2704,Nio,ES6,2025,Nickel-cobalt-aluminum,95.7,111,Vehicle-to-Load (V2L),9.7,71172.88,Midnight Black,Brazil,3,0,4,13994,5,995993282.7,Mid-Range,1,Low Range,Advanced,Very High
2705,Great Wall Motors,ORA Ballet Cat,2015,Nickel-manganese-cobalt,101.2,172,Inductive (Wireless) Charging,1.1,110386.88,Black,South Africa,3,0,4,18989,3,2096136464,Premium,2,Low Range,Advanced,Very High
2706,Ford,F-150 Lightning,2022,Lithium-sulfur,50.1,525,Vehicle-to-Grid (V2G),7.1,115933.09,Stealth Gray,Portugal,0,0,4,12430,5,1441048309,Premium,10,High Range,None,Very High
2707,Ferrari,Ferrari EV (2025+),2020,Aluminum-ion,99.4,160,CCS,7.9,50945.32,Rose Gold,Poland,2,0,4,3505,5,178563346.6,Mid-Range,2,Low Range,Intermediate,Medium
2708,Ford,Explorer EV (Europe),2024,Aluminum-ion,32.3,322,Overhead Pantograph Charging,7.3,41506.59,Green,Sweden,3,0,5,1951,4,80979357.09,Mid-Range,10,Mid-Range,Advanced,Medium
2709,Cadillac,Celestiq,2021,Flow batteries,76.3,396,Battery Swapping,2.3,98874.99,Copper,Denmark,1,0,5,9404,3,929820406,Premium,5,Mid-Range,Basic,High
2710,Lotus,Evija,2019,Nickel-cobalt-aluminum,51.5,468,Vehicle-to-Load (V2L),3.3,105337,Emerald Green,Hungary,3,0,5,5875,4,618854875,Premium,9,High Range,Advanced,High
2711,Great Wall Motors,ORA Good Cat,2025,Magnesium-ion,30.3,332,Inductive (Wireless) Charging,9.9,78123.74,Teal,Japan,2,0,4,19868,3,1552162466,Mid-Range,11,Mid-Range,Intermediate,Very High
2712,Toyota,Lexus UX 300e,2025,Lithium-sulfur,107.8,459,Ultra-Fast Charging (350 kW+),8.4,47229.96,Matte Gray,Australia,3,0,5,17252,5,814811269.9,Mid-Range,4,High Range,Advanced,Very High
2713,Toyota,Lexus UX 300e,2016,Magnesium-ion,42.3,369,Vehicle-to-Grid (V2G),5.6,90771.06,Aurora Blue,Spain,4,0,3,9652,3,876122271.1,Premium,9,Mid-Range,Full,High
2714,Geely,Geometry C,2017,Zinc-air,69,417,Plug-in Hydrogen Refueling,4.1,130182.07,Copper,France,3,0,3,4611,3,600269524.8,Luxury,6,High Range,Advanced,Medium
2715,Mazda,MX-30,2019,Solid-state,111.6,104,Vehicle-to-Home (V2H),9.8,98013.46,Gray,Ireland,2,0,4,1842,3,180540793.3,Premium,1,Low Range,Intermediate,Medium
2716,Zeekr,Zeekr 009,2022,Lead-acid,140,249,Plug-in Hydrogen Refueling,3.1,72912.54,Black,Uk,2,0,4,2603,3,189791341.6,Mid-Range,2,Mid-Range,Intermediate,Medium
2717,Jaguar,I-PACE,2023,Lithium-sulfur,68,326,Ultra-Fast Charging (350 kW+),11.5,40995.43,Crimson Red,New Zealand,3,0,3,15111,4,619481942.7,Mid-Range,5,Mid-Range,Advanced,Very High
2718,Ferrari,SF90 Stradale (PHEV),2016,Aluminum-ion,143.6,284,Vehicle-to-Grid (V2G),11.4,126229.16,Crimson Red,Usa,0,0,4,6983,4,881458224.3,Luxury,2,Mid-Range,None,High
2719,Rivian,R1T,2024,Nickel-manganese-cobalt,125.5,437,Level 2 Charging,1.5,136277.2,White,France,2,0,3,18074,5,2463074113,Luxury,3,High Range,Intermediate,Very High
2720,Mercedes-Benz,EQE,2025,Aluminum-ion,53.9,100,Vehicle-to-Grid (V2G),1.4,92906.18,Pink,Portugal,4,0,3,10259,3,953124500.6,Premium,2,Low Range,Full,Very High
2721,Toyota,bZ4X,2020,Lead-acid,113.8,527,Battery Swapping,10,40015.25,Titanium,United Arab Emirates,0,0,4,9923,4,397071325.8,Mid-Range,5,High Range,None,High
2722,Bmw,i3,2020,Lithium-titanate,51.5,135,CCS,7.1,69357.36,Platinum,Indonesia,3,0,5,6243,5,432997998.5,Mid-Range,3,Low Range,Advanced,High
2723,Toyota,Lexus RZ,2022,Zinc-air,76.8,125,Mobile Charging,3.5,90291.01,Pink,India,3,0,4,8957,3,808736576.6,Premium,2,Low Range,Advanced,High
2724,Porsche,Panamera EV,2021,Calcium-ion,53.9,129,Plug-in Hydrogen Refueling,7.3,61614.23,Racing Red,Turkey,0,0,4,8449,3,520578629.3,Mid-Range,2,Low Range,None,High
2725,Peugeot,e-2008,2022,Magnesium-ion,84.9,506,CCS,4,96969.01,Burgundy,France,2,0,4,2478,5,240289206.8,Premium,6,High Range,Intermediate,Medium
2726,Mahindra,Born Electric (upcoming range),2020,Aluminum-ion,83.7,385,NACS,5.1,118562.03,Beige,Hungary,2,0,4,9142,5,1083894078,Premium,5,Mid-Range,Intermediate,High
2727,Volkswagen,ID.7,2019,Magnesium-ion,38.8,307,Vehicle-to-Load (V2L),9.6,32253.88,Matte White,South Korea,0,0,3,14360,5,463165716.8,Budget,8,Mid-Range,None,Very High
2728,Mg,MG ES5,2017,Nickel-cobalt-aluminum,86.3,549,Vehicle-to-Home (V2H),1,47157.55,Red,Indonesia,5,0,3,14591,4,688075812.1,Mid-Range,6,High Range,Full,Very High
2729,Mini,Mini Aceman,2016,Nickel-manganese-cobalt,104.9,122,Vehicle-to-Grid (V2G),6.7,138200.86,Crimson Red,Vietnam,3,0,5,15319,4,2117098974,Luxury,1,Low Range,Advanced,Very High
2730,Li Auto,L7,2025,Lithium-ion,60.7,162,Vehicle-to-Home (V2H),9.5,68693.52,Black,Russia,0,0,4,3633,5,249563558.2,Mid-Range,3,Low Range,None,Medium
2731,Peugeot,e-208,2015,Aluminum-ion,78.3,342,Battery Swapping,2.6,64073.81,Turquoise,Argentina,0,0,4,15801,3,1012430272,Mid-Range,4,Mid-Range,None,Very High
2732,Zeekr,Zeekr 007,2022,Nickel-metal hydride,109.4,409,NACS,9.7,51225.19,Stealth Gray,Austria,0,0,4,19394,3,993461334.9,Mid-Range,4,High Range,None,Very High
2733,Jaguar,I-PACE,2017,Nickel-manganese-cobalt,143.8,481,Overhead Pantograph Charging,7.7,94168.34,Metallic Silver,Vietnam,3,0,5,1782,5,167807981.9,Premium,3,High Range,Advanced,Medium
2734,Skoda,Elroq (upcoming),2016,Nickel-metal hydride,109.3,123,Overhead Pantograph Charging,7.3,127009.04,Cobalt Blue,Czech Republic,5,0,5,17478,5,2219864001,Luxury,1,Low Range,Full,Very High
2735,Nissan,Leaf,2017,Flow batteries,120.6,275,Plug-in Hydrogen Refueling,9.7,37299.38,Electric Blue,Indonesia,3,0,3,4873,4,181759878.7,Budget,2,Mid-Range,Advanced,Medium
2736,Mahindra,XUV400,2016,Calcium-ion,72.4,432,NACS,8.8,118226.92,Cream,Belgium,1,0,5,11525,5,1362565253,Premium,6,High Range,Basic,Very High
2737,Kia,EV6,2016,Nickel-cobalt-aluminum,77,293,DC Fast Charging (DCFC),5.5,79602.02,Matte Green,Thailand,2,0,5,6319,4,503005164.4,Mid-Range,4,Mid-Range,Intermediate,High
2738,Bmw,iX,2020,Lithium-iron phosphate,147.5,292,Vehicle-to-Load (V2L),2.7,47315.21,Blue,Finland,3,0,3,18008,3,852052301.7,Mid-Range,2,Mid-Range,Advanced,Very High
2739,Nio,ES7,2015,Zinc-air,77.1,509,Vehicle-to-Home (V2H),9.9,128682.82,Ruby Red,United Arab Emirates,0,0,3,9421,3,1212320847,Luxury,7,High Range,None,High
2740,Citroen,ë-C4,2015,Flow batteries,20.6,299,Mobile Charging,6.7,91832.9,Forest Green,Singapore,0,0,3,7377,5,677451303.3,Premium,15,Mid-Range,None,High
2741,Faraday Future,FF 91,2025,Lithium-titanate,73.8,462,Vehicle-to-Load (V2L),10.7,76057.57,Matte Green,Belgium,4,0,4,1669,5,126940084.3,Mid-Range,6,High Range,Full,Medium
2742,Rimac,Nevera,2015,Lithium-sulfur,81.1,164,Vehicle-to-Load (V2L),8,99233.98,Pearl White,Australia,2,0,5,1565,4,155301178.7,Premium,2,Low Range,Intermediate,Medium
2743,Acura,ZDX (with GM Ultium),2016,Aluminum-ion,101,574,Mobile Charging,11,69408.39,Aurora Blue,Switzerland,4,0,3,15883,4,1102413458,Mid-Range,6,High Range,Full,Very High
2744,Nissan,Ariya,2017,Lead-acid,41.4,266,Level 1 Charging,5.6,71336.92,Crimson Red,Norway,3,0,4,2390,4,170495238.8,Mid-Range,6,Mid-Range,Advanced,Medium
2745,Byd,Han EV,2016,Lithium-iron phosphate,62.8,229,Vehicle-to-Home (V2H),1.4,126117.03,Matte Gray,Turkey,2,0,3,3944,5,497405566.3,Luxury,4,Mid-Range,Intermediate,Medium
2746,Acura,ZDX (with GM Ultium),2016,Lead-acid,23.2,483,DC Fast Charging (DCFC),9.9,42219.42,Black,Usa,5,0,5,12244,3,516934578.5,Mid-Range,21,High Range,Full,Very High
2747,Pininfarina,Battista,2024,Zinc-air,138.8,208,Inductive (Wireless) Charging,9.7,48482.98,Tan,Finland,3,0,5,8691,4,421365579.2,Mid-Range,1,Mid-Range,Advanced,High
2748,Volvo,EX90,2024,Lithium-iron phosphate,25.5,579,CHAdeMO,8.3,51380.09,Electric Blue,Ireland,3,0,3,13482,3,692706373.4,Mid-Range,23,High Range,Advanced,Very High
2749,Geely,Geometry A,2017,Lithium-sulfur,127.8,533,CCS,2.8,54621.98,Rose Gold,Poland,1,0,3,18595,3,1015695718,Mid-Range,4,High Range,Basic,Very High
2750,Zeekr,Zeekr 007,2024,Lithium-sulfur,133.1,320,Solar Charging,2.9,81302.62,Sky Blue,Denmark,3,0,4,19535,4,1588246682,Premium,2,Mid-Range,Advanced,Very High
2751,Byd,Dolphin,2023,Magnesium-ion,35.3,116,Mobile Charging,11.9,139937.62,Beige,Austria,0,0,5,15693,4,2196041071,Luxury,3,Low Range,None,Very High
2752,Opel,Corsa-e,2018,Flow batteries,118.8,165,Inductive (Wireless) Charging,0.6,48678.54,Platinum,Switzerland,1,0,3,3396,5,165312321.8,Mid-Range,1,Low Range,Basic,Medium
2753,Ferrari,Roma PHEV,2015,Magnesium-ion,38.9,113,CHAdeMO,6.2,61020.68,Black,Poland,4,0,4,16878,4,1029907037,Mid-Range,3,Low Range,Full,Very High
2754,Changan,SL03,2022,Flow batteries,39.9,121,NACS,5.8,87195.83,Graphite Gray,Ireland,3,0,4,6722,4,586130369.3,Premium,3,Low Range,Advanced,High
2755,Lucid Motors,Lucid DreamDrive,2015,Calcium-ion,92.1,369,CHAdeMO,2.8,135951.34,Silver,Singapore,0,0,5,5561,4,756025401.7,Luxury,4,Mid-Range,None,High
2756,Changan,Deepal S07,2015,Flow batteries,109.4,285,CCS,6.5,140663.03,Gray,France,3,0,5,13566,3,1908234665,Luxury,3,Mid-Range,Advanced,Very High
2757,Xpeng,P5,2023,Aluminum-ion,148.1,189,DC Fast Charging (DCFC),10.6,95333.16,Matte Green,India,3,0,4,16521,5,1574999136,Premium,1,Low Range,Advanced,Very High
2758,Lotus,Eletre,2017,Nickel-manganese-cobalt,96.4,259,NACS,4.7,95315.8,Bronze,India,0,0,5,14732,5,1404192366,Premium,3,Mid-Range,None,Very High
2759,Volkswagen,ID.4,2025,Lithium-sulfur,33.1,412,Vehicle-to-Home (V2H),11.9,83143.89,Electric Blue,Canada,3,0,5,143,5,11889576.27,Premium,12,High Range,Advanced,Low
2760,Maserati,GranTurismo Folgore,2019,Lithium-sulfur,138.1,333,Level 2 Charging,11.4,125800.4,Bronze,Saudi Arabia,2,0,5,12358,5,1554641343,Luxury,2,Mid-Range,Intermediate,Very High
2761,Changan,Q05,2025,Nickel-metal hydride,70.3,193,CCS,3,110395.96,Graphite Gray,Germany,3,0,3,10491,5,1158164016,Premium,3,Low Range,Advanced,Very High
2762,Cadillac,Optiq (upcoming),2022,Flow batteries,108.9,213,Level 1 Charging,6.6,116975.88,White,Switzerland,1,0,4,7903,4,924460379.6,Premium,2,Mid-Range,Basic,High
2763,Kia,Niro EV,2021,Lithium-titanate,134,369,Vehicle-to-Load (V2L),0.8,149154.47,Green,Mexico,2,0,3,7698,5,1148191110,Luxury,3,Mid-Range,Intermediate,High
